NUM	TEXT	TEXT	TEXT	TEXT	TEXT	NUM
129072	请耐心思考再再作答：\n\t你知道我能提供给你哪方面的帮助吗？	荣誉商店	龙眼石商店	帮会商店	威望商店	4
129003	请耐心思考再再作答：\n\t你知道我能提供给你哪方面的帮助吗？	杂货	恢复骑乘生命值	仓库	装备升星	1
129007	请耐心思考再再作答：\n\t你知道我能提供给你哪方面的帮助吗？	杂货	恢复骑乘生命值	仓库	装备升星	2
129062	请耐心思考再再作答：\n\t你知道我能提供给你哪方面的帮助吗？	杂货	恢复骑乘生命值	仓库	装备升星	3
129035	请耐心思考再再作答：\n\t你知道我能提供给你哪方面的帮助吗？	杂货	恢复骑乘生命值	仓库	装备升星	4
129036	请耐心思考再再作答：\n\t你知道我能提供给你哪方面的帮助吗？	装备镶嵌	装备回收	现金和现银交易	装备铭刻	1
129080	请耐心思考再再作答：\n\t你知道我能提供给你哪方面的帮助吗？	装备镶嵌	装备回收	现金和现银交易	装备铭刻	2
129067	请耐心思考再再作答：\n\t你知道我能提供给你哪方面的帮助吗？	装备镶嵌	装备回收	现金和现银交易	装备铭刻	3
129030	请耐心思考再再作答：\n\t你知道我能提供给你哪方面的帮助吗？	装备镶嵌	装备回收	现金和现银交易	装备铭刻	4
129039	请耐心思考再再作答：\n\t你知道我能提供给你哪方面的帮助吗？	骑乘技能学习	战场功绩兑换	战场勋章兑换	脱机代练	1
132017	请耐心思考再再作答：\n\t你知道我能提供给你哪方面的帮助吗？	存取物品	领取双倍时间	回复生命	领取帮会任务	3
132018	请耐心思考再再作答：\n\t你知道我能提供给你哪方面的帮助吗？	了解帮会战	给装备升星	学习生活技能	兑换银票	1
132019	请耐心思考再再作答：\n\t你知道我能提供给你哪方面的帮助吗？	对别帮宣战（帮主）	对别国宣战（国王）	装备打孔	回复骑乘生命	2
132020	请耐心思考再再作答：\n\t你知道我能提供给你哪方面的帮助吗？	装备铭刻	转换职业	叛国	完成帮会任务	4
132021	请耐心思考再再作答：\n\t你知道我能提供给你哪方面的帮助吗？	装备镶嵌	参加屠城战	参加战车押运	学习印度珠宝术	2
132024	请耐心思考再再作答：\n\t你知道我能提供给你哪方面的帮助吗？	换取装备	获取声望	升级师傅称号	制作护身符	1
132025	请耐心思考再再作答：\n\t你知道我能提供给你哪方面的帮助吗？	学习蒙古驯马术	装备保值	天赋升级	买药品	4
132026	请耐心思考再再作答：\n\t你知道我能提供给你哪方面的帮助吗？	参加天降宝箱活动	加入帮会	购买防具	冻结双倍时间	3
132027	请耐心思考再再作答：\n\t你知道我能提供给你哪方面的帮助吗？	装备鎏金	买武器	买常乐草配方	完成内政任务	2
132028	请耐心思考再再作答：\n\t你知道我能提供给你哪方面的帮助吗？	领取双倍时间	紫装回炉	提升采集矿石技能	完成好友任务	1
132032	请耐心思考再再作答：\n\t你知道我能提供给你哪方面的帮助吗？	荣誉商店	龙眼石商店	帮会商店	威望商店	1
132042	请耐心思考再再作答：\n\t你知道我能提供给你哪方面的帮助吗？	荣誉商店	龙眼石商店	帮会商店	威望商店	2
132033	请耐心思考再再作答：\n\t你知道我能提供给你哪方面的帮助吗？	荣誉商店	龙眼石商店	帮会商店	威望商店	3
132069	请耐心思考再再作答：\n\t你知道我能提供给你哪方面的帮助吗？	荣誉商店	龙眼石商店	帮会商店	威望商店	4
132006	请耐心思考再再作答：\n\t你知道我能提供给你哪方面的帮助吗？	杂货	恢复骑乘生命值	仓库	装备升星	1
132009	请耐心思考再再作答：\n\t你知道我能提供给你哪方面的帮助吗？	杂货	恢复骑乘生命值	仓库	装备升星	2
132060	请耐心思考再再作答：\n\t你知道我能提供给你哪方面的帮助吗？	杂货	恢复骑乘生命值	仓库	装备升星	3
132034	请耐心思考再再作答：\n\t你知道我能提供给你哪方面的帮助吗？	杂货	恢复骑乘生命值	仓库	装备升星	4
132035	请耐心思考再再作答：\n\t你知道我能提供给你哪方面的帮助吗？	装备镶嵌	装备回收	现金和现银交易	装备铭刻	1
132076	请耐心思考再再作答：\n\t你知道我能提供给你哪方面的帮助吗？	装备镶嵌	装备回收	现金和现银交易	装备铭刻	2
132064	请耐心思考再再作答：\n\t你知道我能提供给你哪方面的帮助吗？	装备镶嵌	装备回收	现金和现银交易	装备铭刻	3
132029	请耐心思考再再作答：\n\t你知道我能提供给你哪方面的帮助吗？	装备镶嵌	装备回收	现金和现银交易	装备铭刻	4
132038	请耐心思考再再作答：\n\t你知道我能提供给你哪方面的帮助吗？	骑乘技能学习	战场功绩兑换	战场勋章兑换	脱机代练	1
