NUM	NUM	TEXT	TEXT	TEXT	TEXT	TEXT
31	0	一个招牌突然由高处掉落，砸向并排行走的五个人，为什么只有三个人受伤？	因为有一人长太高	因为是肯德鸡的招牌	因为是麦当劳的招牌	因为他们没有拜拜
32	0	一个盒子有几个面？	六面	上面	左面	里、外面
33	0	一个新老公和一只新买的狗有什么不同？	狗不会变心	老公不会乱跑	狗不会乱叫	老公会乱叫
34	0	一个学生住在学校里，为什么上学还常迟到？	学校很大	那不是他的学校	爬不起来	规定不能住学校
35	0	一个断了右手的球员，为何还能边玩球边喝饮料？	他在打棒球	他在打篮球	他在踢足球	他在打羽毛球
36	0	一个离过十次婚的女人，该怎么形容她？	公败垂成	兄友弟公	公公婆婆	前公尽弃
37	0	一根稻草、一根竹竿与一片木板同时放入水中，那一个会先沉下去？	皆浮在水面上	稻草	竹竿	木板
38	0	一般来说小姐身上哪一个洞最小？	嘴	耳洞	私密部分	屁眼
39	0	一只大象听了蚂蚁说的那一句话，便晕过去了？	我的朋友是老鼠	我喜欢跟老鼠玩	我有了，是和你的	我是老鼠
40	0	一只小鸟穿着防弹衣在树上跳舞，一个猎人开枪打中它，小鸟却死了，为什么？	被流弹打死的	被声音吓死的	它跳到虚脱而死	它在跳脱衣舞
41	0	一只山羊在它的左边放一块肉、右边放一牛肉、中间放一块鱼肉，它会先吃那一块？	猪肉	牛肉	都不吃	鱼肉
42	0	一只凶猛的饿猫，看到老鼠，为何拔腿就跑？	它跑去追老鼠	它不吃老鼠	太紧张了	太害怕了
43	0	一只青蛙，五只蚊和一条蛇放在一起共有几多只脚？	34只	没半只	32只	30只
44	0	一只鸡和鹅放进冰箱内为何只有鸡挂了？	鸡太鸡婆	鹅的毛比较厚	鹅的抵抗力较强	因为它是企鹅
45	0	一卷蚊香从头烧到尾要半个小时，如果要测量15分钟的时间要怎么做？	将蚊香的头尾一起点燃	一次点燃两卷蚊香	从蚊香的1/3处点燃	蚊香先沾油烧的较快
46	0	一对健康的夫妇很不注意生育，生了三个孩子都只有一只右手，为什么？	基因突变	左手断了	本来就只有一只右手	一只右手就够了
47	0	一对健康的鸡，为什么会生出一个没有眼睛的后代？	眼睛太小看不见	他们生的是蛋	基因正常	倒霉活该
48	0	一颗树绑一只老虎，绳长10公尺，草离树15公尺，要如何做才能让老虎吃到草？	把绳子解开	把树木砍断	把绳子加长	老虎不吃草
49	0	人在什么情况下会七窍生烟？	生气时	游泳时	火葬时	烤肉时
50	0	人在什么情况下会变得目中无人？	中乐透彩	眼睛瞎了	当上总统	变成明星
51	0	人身上的什么东西，舔也硬，不舔也硬，想舒服睡，最好先搓搓它？	屁眼	手指	牙齿	眼睛
52	0	人为什么要呼吸？	吐一口气	吸一口气	呼一口气	争一口气
53	0	人们最常说的三个字是什么？	不知道	我好像	干XX	大猪头
54	0	人最怕屁股有什么东西？	一屁股屎	一屁股气	痔疮	一屁股债
55	0	人体的那个地方在受刺激时会放大到原体积的七、八倍大小？	生殖器	瞳孔	脉搏	毛细孔
56	0	三更半夜回家忘了带钥匙，家中又没有其他人在，这时你最大的愿望是什么？	没有小偷	警察快来	这是梦境	电话打的通
57	0	三个口叫“品”，三个木叫“森”，那么三个鬼叫什么？	救命	ㄍㄨㄟˇ	ㄍㄨㄟ	ㄍㄨㄟˋ
58	0	三个孩子吃三个饼要用3分钟，九十个孩子吃九十个饼要用多少时间？	三十分钟	三分钟	六分钟	十分钟
59	0	三个贼行窃一间商场，警方封锁所有出口，但三个贼人却成功逃离，为何？	出口有人接应	歹徒火力强大	他们从入口逃走	警方人手不足
60	0	下列何种书买不到？	A书	漫画	小说	遗书
61	0	下列那一种人冬天最不怕冷？	白人	雪人	法国人	吉普赛人
62	0	下列哪个小孩最不孝顺母亲？	董月花	陈阿扁	面速力	苏真昌
63	0	下面那一种颜色的熊最厉害？	黑熊	白熊	灰熊	棕熊
64	0	上完厕所，要用左手、还是右手擦屁屁会比较好？	用卫生纸	左手	右手	双手
65	0	上海的南京路，来往最多的是什么人？	美国人	台湾人	香港人	中国人
66	0	上课铃声响了很久，为何教室里一个人都没有？	因为老师请假	因为在上体育课	因为学生不喜欢上课	因为老师很凶
67	0	土豆比西红柿便宜，我的钱不够买两磅土豆。所以？	我的钱不够买一磅西红柿	我的钱刚好买一磅西红柿	我的钱不一定能买一磅西红柿	我的钱不能买一磅蕃茄
68	0	夕阳西下，断肠人在哪里？	远方	医院	海角	天涯
69	0	大大小小的卡，到底要寄什么卡给女人，最能博得她的欢心呢？	悠游卡	健保卡	电话卡	信用卡
70	0	大肥猪触电后会发生什么状况？	原油外泄	没事	发生地震	停电
71	0	大笨象的右耳像甚么？	昆布	海带	左耳	猪头
72	0	大厦发生火灾，陈先生逃到顶楼，想跳过距离只有10CM隔壁楼顶，结果跌死了，为何？	跳不过去	有人叫他回来	卡在10CM的缝中	两栋楼的高度相差太远
73	0	女人的嘴巴最大的用处是什么？	甜言蜜语	吃定男人	七上八下	自圆其说
74	0	女人结婚有什么用？	有个鸟用	有个屁用	有个人陪	有个房用
75	0	小王因工作需要常交际应酬，虽然每天都很早回家，可是妻子还是抱怨不断，为什么？	回家后不陪她	回家不作家事	凌晨才回家	没带吃的回家
76	0	小朱不小心吞下了1元，朱爸把他倒过来拍，却吐出10元，这时朱爸会怎么办？	赶快打电话报警	叫小朱的妈妈来	装做没事发生	继续喂他一元
77	0	小明在街上散步时看到千元大钞和一块骨头，它却选了一块骨头，为什么？	他肚子饿	他有毛病	他是瞎子	他是一只狗
78	0	小明困于没窗口或秘道的房间，他怎样拉也拉不开唯一的门，但他依然靠自己逃离房间，为何？	他会隐身术	有人帮他拉	门是用推的	他用钻地的方式
79	0	小明爬楼梯，才爬到二楼，为什么觉得脚很酸？	还没吃饭	踩到柠檬	刚跑完步	刚上完课
80	0	小明的爸爸有三个儿子，大儿子叫大毛，老二叫二毛，问三儿子叫什么？	小明	三毛	龟毛	鸟毛
81	0	小明带了一百元去买一个七十五元的东西，但老板却只找了五元给他，为什么？	老板找错钱	老板身上没钱	他只拿80元给老板	老板是奸商
82	0	小明被小华放鸽子，却很高兴的是谁？	小明	鸽子	小华	没有人高兴
83	0	小明测验时所有的答案都答对，但他得不到满分，为甚么？	老师改错	没在时间内答完	时运不济	他做的是是非题
84	0	小明对小英说：『我可以坐在一个你永远也坐不到的地方！』请问他坐在哪里？	小英身上	小明身上	天上	地上
85	0	小明与小华、小英是同年同月同日生，且父母是同一对，但不是双胞胎，可能吗？	不可能，胡扯	可能，失散多年的兄弟	可能，是三胞胎	不可能，搞乱伦
86	0	小明写信给他的女朋友，一次寄了七封，但他的女朋友珍妮却只收到一封信，为什么？	邮差没寄到	小明有七个女朋友	信都放在一起	信被偷了
87	0	小玲的日记写着：『今天下午我做家务，累了一天。二月二十八日记。』哪里有错？	2月不只28天	小玲从不做家事	小玲只劳累半天	小玲从不写日记
88	0	小章在动物园看到一只大象并很高兴的摸它，但它为何一动也不动？	它很害怕	它是木头做的	小章摸的很大力	它懒的动
89	0	小章的英文非常好，但是老外却听不懂，因为？	老外不是美国人	老外要整他	不认识小章	老外智商较低
90	0	小鸟怕什么？	鸟笼	网子	小猫	裤子拉链
91	0	小华口袋里原有１０个铜板，但它们都掉了，请问小华口袋里还剩下什么？	一个洞	一个铜板	两个铜板	三个铜板
92	0	小华他能在1秒之内把房间内的玩具都变不见，是如何做到的？	叫人帮他收	眼睛闭上	他是超人	他会变魔术
93	0	小董才3岁却已经当爸爸了，为什么，因为？	他早熟	他基因突变	他在玩扮家家酒	他是天才
94	0	小董的狗会买东西，朋友不信并给这只狗200元买香烟，结果两个钟头才回来，为什么？	它不会买	买太多东西了	它不想买	它去看电影
95	0	小董从52楼跳下，为什么没事？	他是只小猫	他是只小鸟	他是只乌龟	他是只猪头
96	0	小董踩到大便，为何没有弄脏鞋子？	他光着脚走	他小心地走	他穿了雨鞋	大便是干的
97	0	小蜈蚣跟爸爸说了什么话后害的蜈蚣爸爸当场晕倒？	我要吃饭	我要买玩具	我要买鞋	我要嘿休
98	0	不小心溺水时，若附近没有其他人该怎么办？	把水喝光	听天由命	怨天尤人	静静等待
99	0	五月花、百合花、牵牛花与水仙花哪一个未生子？	百合花	牵牛花	水仙花	五月花
100	0	什东西很硬，特别是结了婚的女人，更是爱死了？	牙齿	钻石	石头	钞票
101	0	什么人生病从来不看医生？	穷人	富人	瞎子	聋子
102	0	什么人有两个心？	孕妇	色狼	分心的人	好人
103	0	什么人每天靠运气赚钱？	狐狸精	乞丐	商人	落翅仔
104	0	什么人的工作整天忙的团团转？	芭蕾舞者	商业巨子	阿宗面线老板	程序设计师
105	0	什么人是不用电的？	瑞典人	希腊人	缅甸人	法国人
106	0	什么人最怕鬼？	赌鬼	胆小鬼	酒鬼	色鬼
107	0	什么人喝着酒却不想着酒？	酒鬼	醉翁	调酒师	酒家女
108	0	什么方法可以最快找到遗失的图钉？	用磁铁	拿钉子	用扫把扫	打赤脚
109	0	什么比赛是往后跑的？	拔河	竞走	跳远	跳高
110	0	什么水取之不尽用之不完？	井水	薪水	口水	香水
111	0	什么水要按计划发放？	井水	肥水	薪水	口水
112	0	什么布剪不断？	尿布	瀑布	裹脚布	剪刀石头布
113	0	什么瓜不能吃？	西瓜	傻瓜	木瓜	南瓜
114	0	什么池不能装水？	电池	莲池	荷花池	游泳池
115	0	什么床不能在上面睡觉？	弹簧床	木床	河床	婴儿床
116	0	什么事你明明没做却一定要受罚？	做爱	作弊	做亏心事	做作业
117	0	什么事是20个男人能同时做的，而20个女人却不能同时做？	搬一台摩托车	在同一个小桶洒尿	在小浴池内洗澡	在小房间内说闲话
118	0	什么事情是一错再错？	向别人借钱	吃饭	结婚生子	交朋友
119	0	什么事会让上面的很多人愉快，下面的很多人高兴？	演唱会	做爱做的事	发薪水	中头奖
120	0	什么官不仅不领工资，还要自掏腰包？	警官	预官	检察官	新郎官
121	0	什么东西人天天在吃但却感觉没有吃饱的一天？	面包	空气	吃亏	吃饭
122	0	什么东西人们都喜欢吃？	吃螺丝	吃官司	吃亏	吃补
123	0	什么东西人愈生气，它便愈大？	痔疮	痘痘	脾气	粪便
124	0	什么东西不破时人发愁，破了才高兴？	破台	破功	破坏	玻璃
125	0	什么东西不能用放大镜放大	眼镜	智商	放大镜	字幕
126	0	什么东西天气越热，它爬的越高？	猴子	蜗牛	山猪	温度计
127	0	什么东西比天还高？	飞机	志气	云层	心脏
128	0	什么东西比乌鸦更讨厌？	乌鸦嘴	乌鸦尾巴	猪头	大便
129	0	什么东西只会加不会减？	折扣	薪水	年龄	好运
130	0	什么东西在倒立之后会增加一半？	鸡蛋	6	人	10
131	0	什么东西有了烦恼，没有也烦恼？	足够的钱	足够的食物	足够的权利	一个女人
132	0	什么东西有五个头，但人却不觉得它怪呢？	猪头	手指头	红烧狮子头	罐头
133	0	什么东西你从它里面掏的越多，它变的越大？	猪公	药罐子	洞	抽屉
134	0	什么东西放进去以前是干的，拿出来时是湿的，而且还让人有热的满足感？	茶袋	手	衣服	舌头
135	0	什么东西的牙齿是从来不用吃东西的？	人	梳子	老虎	狗
136	0	什么东西很粗很长，白天闲着晚上很忙？	手电筒	棒球棍	手表	计算机
137	0	什么东西是力气再大的人也扛不起？	哑铃	枪械	粪桶	罪名
138	0	什么东西看不到却可以摸到，万一摸不到会把人吓到？	左手	电话	脉搏	钞票
139	0	什么东西掉入水中却完全不会湿？	雨衣	人	宠物	影子
140	0	什么东西晚上才生出尾巴呢？	生日	流星	陨石	猴子
141	0	什么东西开始裂开的时候，用再精密的仪器也查不出裂痕？	皮肤伤口	水库	感情	习惯
142	0	什么东西愈洗愈脏？	水	油	布	身体
143	0	什么东西经常会来，但是从未真正来过？	好运	明天	大姨妈	好心情
144	0	什么东西嘴里没有舌头？	情人的嘴里	牛的嘴里	狗的嘴里	茶壶嘴里
145	0	什么狗不会叫？	疯狗	土狗	走狗	落水狗
146	0	什么门不需要用钥匙开？	铁门	肛门	暗门	大门
147	0	什么门永远关不上？	足球门	铁门	肛门	阿们
148	0	什么雨猛到可以杀死人？	酸雨	枪林弹雨	太阳雨	毛毛雨
149	0	什么活动要吗不动，如果一动，上面欢喜，下面好痛？	下棋	跳舞	唱歌	钓鱼
150	0	什么食物可以明显表示『番石榴和菠萝比赛，番石榴赢了』的状态？	番石榴汁	菠萝罐头	凤梨酥	番石榴干
151	0	什么时候太阳会从西边出来？	公元2200年时	中乐透彩的时候	踩到狗屎的时候	发誓的时候
152	0	什么时候看到的月亮最大？	中秋节当天	农历一月十五日	夏至	登陆月球时
153	0	什么时候最好还是要高高举起你的手好些？	被枪指着时	跟人打招呼时	做早操时	打哈欠时
154	0	什么书谁也没看过？	遗书	天书	A书	秘书
155	0	什么酒价格最贵？	高梁酒	喜酒	白兰地	伏特加
156	0	什么动物，你打死了它却流了你的血？	苍蝇	老鼠	蚊子	蟑螂
157	0	什么动物天天熬夜？	蝙蝠	猫头鹰	人	熊猫
158	0	什么动物在天上是四只脚，在地上是两只脚，水里是三只脚？	怪物	水母	人	飞鼠
159	0	什么情况下一山可容二虎？	一中一台	一人一半	一前一后	一公一母
160	0	什么球不能踢？	地球	篮球	浑球	桌球
161	0	什么蛇，短小精干？	青竹丝	三寸不烂之舌	眼镜蛇	龟壳花
162	0	什么蛋不能吃？	鸡蛋	鸭蛋	零鸭蛋	鹅蛋
163	0	什么帽不能戴？	绿帽	鸭舌帽	绿扁帽	小红帽
164	0	什么贵重的东西最容易『不翼而飞』？	黄金	钱包	信用卡	人造卫星
165	0	什么饭不能在晚上吃？	晚饭	白饭	炒饭	早饭
166	0	什么照片看不出照的是谁？	X光照片	灵异照片	陈年照片	快洗照片
167	0	什么话讲了没人听？	好话	废话	良言	神话
168	0	什么鼠最爱干净？	小白鼠	米老鼠	环保署	营建署
169	0	什么样的人最无情？	死人	贱人	小人	废人
170	0	什么样的山和海可以移动？	刀山死海	玉山珠海	阿里山南海	人山人海
171	0	什么样的桶子永远装不满？	水桶	马桶	空桶	钱桶
172	0	什么样的帽子不能戴？	鸭舌帽	螺丝帽	绿扁帽	学生帽
173	0	什么鸡不能吃？	土鸡	山鸡	飞机	火鸡
174	0	今天下午小明到旺角看电影，到了旺角，半个人也看不见，为什么？	没有半个人	时间不对	记错地点了	旺角有鬼
175	0	今天气温是摄氏五度，但为什么小明反而比昨天穿更少？	昨天是零下五度	今天身体比较强壮	温度计坏了	他心情好
176	0	内人离家出走，怎么办？	自圆其说	七上八下	登报作废	山穷水尽
177	0	六岁的小明总是喜欢把家里的闹钟整坏，为什么总是叫不会修理钟表的爸爸代为修理？	没人可找	先修理小明再说	看看到底会不会	只有他才会修
178	0	公狗为什么在尿尿的时候要将一只脚抬起，因为？	可以尿的比较快	抬起两只脚会摔倒	可取得平衡	比较凉快
179	0	日本为何在战后就不再设置慰安妇？	日本的女人质量较好	弟兄不再需要	天皇的命令	日本成立了自卫队
180	0	月球上引力是地球的1/6，若老鹰在地球上时速可飞30公里，它在月球上能飞几公里？	不到一公里	三百六十公里	五公里	六十公里
181	0	比病毒还小的东西是什么？	细菌	病毒的儿子	杆菌	细菌的女儿
182	0	比塞塔万一快倒了要叫谁去扶？	梅格	钱宁	强森	约翰
183	0	毛毛说：１０＋４＝２，老师也说他对，为什么？	老师没注意听	他说了算	他在算时间	毛毛没救了
184	0	毛毛虫要过河，两岸间无东西可以渡河，身边只有一堆叶，究竟毛毛虫怎样游到对岸？	把叶子做成船	等另一条毛毛虫过来	等水干了	吃掉树叶变成蝴蝶再飞过去
185	0	时常听人说「丁丁是个人才」，请问丁丁是出自哪个人物?	天线宝宝	海绵宝宝	神奇宝贝	豆豆先生
186	0	牙医靠什么吃饭？	看病	嘴巴	赚钱	医疗工具
187	0	牛顿被苹果击中发现了地心引力；故你坐在椰子树下被椰子打中时会发现什么？	头很痛	椰子落下较慢	两者落下速度相同	牛顿是英国人
188	0	王太太问自己老公说：『隔壁的孙先生出门都会吻孙太太，为何你都做不到呢』为何？	王先生不敢	王先生和孙太太不熟	王先生不要	王先生不好意思
189	0	王先生养了只孔雀。有天孔雀在张先生花园生了一颗蛋，请问这颗蛋属于谁的？	王先生	孔雀的	张先生	国家的
190	0	王老太太整天喋喋不休，可他有一个月说的最少，是哪一个月？	三月	十二月	二月	十月
191	0	世上最小的岛是什么？	绿岛	普吉岛	安全岛	西西里岛
192	0	世界上有那一种花通常夏天是冰冷的，冬天是温热的？	樱花	梅花	豆花	香花
193	0	世界上的人共分几种？	五种	两种	十种	一百种
194	0	世界上最长的车是什么？	美国大塞车	日本子弹列车	法国磁浮列车	台湾电车
195	0	世界拳击冠军很容易被什么击倒？	泰森	何力菲尔德	裁判	瞌睡
196	0	以下哪种不是棋类？	陆军棋	象棋	暗棋	国旗
197	0	加热会凝固的东西是什么？	水	油	蛋	肉
198	0	"北极熊在北极叫""北极熊""那到了南极叫什么？"	南极没有熊	当然是南极熊	当然是北南熊	当然是太极熊
199	0	半夜里打算盘是什么情形？	暗算	精算	盘算	打算
200	0	古时候，什么人没当爸爸就先当公公？	总管	皇帝	太后	太监
201	0	司机小李看到电线杆子上蹲着一只猴子，为什么他规规矩矩的把车停下来？	以为猴子屁股是红灯	休息一下	想抓猴子	电线杆快倒了
202	0	司机进入汽车后第一件事是什么？	发动车	插入钥匙	坐下	睡觉
203	0	只有一个头却没有身体的牛，叫做什么牛？	二头牛	天牛	一头牛	海牛
204	0	台湾是海洋性气候，所以我们夏天吹什么风？	东北风	电风	北风	台风
205	0	四个9加起来为什么等于100？	9＋9＋99	9/9＋99	9×9＋9＋9	999/9
206	0	打什么东西，不必花力气？	打瞌睡	打架	打电动	打炮
207	0	正方形是有角的图形，这个图形没有角，所以？	这图形是个圈	无确切的结论	这图形可能是正方形	这图形非正方形
208	0	犯人最乐意选择的死法是什么？	安乐死	枪决而死	老死	电死
209	0	生米煮成了熟饭该怎么办？	承认吧	快闪开	听天命	开动吧
210	0	生活中什么妖怪最多？	水鬼	好兄弟	哭妖	无头鬼
211	0	生活中所用的电与自然的闪电有什么不同？	一个要缴钱	一个电不死人	一个会电死人	一个会产生火花
212	0	用什么可以解开所有的谜？	头脑	知识	谜底	合作
213	0	用什么拖地最干净？	用拖把	用力	用肥皂水	叫隔壁邻居
214	0	用西瓜、椰子、榴莲打头壳哪一个比较痛？	头壳	西瓜	榴莲	椰子
215	0	先天是指与生俱来的，那么后天又指甚么？	明天的明天	后来培养的	明天的今天	今天的明天
216	0	全世界死亡率最高的地方在哪里？	厕所	公园	山上	床上
217	0	全世界最大的公鸡是从哪里来的？	美洲	蛋里	非洲	亚洲
218	0	全世界最大的地瓜长在那里？	南美洲	北美洲	土里	非洲
219	0	冰变成水最快的方法是什么？	将冰敲碎	将冰左边部首去掉	将冰咬碎	将冰用火烧
220	0	同一头牛的舌头和尾巴什么时候遇在一起？	交配的时候	吃草的时候	在餐厅的时候	刮台风的时候
221	0	同性恋结婚有什么用？	有个屁用	没用	有个房用	有个伴陪
222	0	吃苹果时，吃出一条虫子，感觉很反胃，那么吃出几条虫子感觉超级反胃？	半条	二条	五条	没半条
223	0	地球上什么东西每天要走的距离最远？	飞机	轮船	地球	太阳
224	0	地震的时候，在什么地方最安全？	空地	地下室	空屋	飞机上
225	0	在一次考试中，有两人交了一模一样的考卷，但老师肯定他们没有做弊，为什么？	不一样时间交卷	两人答案卷都空白	老师有仔细监考	两人的人格高尚
226	0	在不触犯法令的情况下，怎样让自己的头摇晃半小时以上？	看乒乓球比赛	吃摇头丸	看电影	找援交妹
227	0	在冰天雪地的北极找不到防身的武器时怎么办？	挖个地洞	打电话求救	求神明保佑	洒尿制冰剑
228	0	在船上见得最多的是什么？	船长	水	船帆	船员
229	0	如何用一句话警告好色的男人？	色即是空	色艺出众	小心铁杵磨成绣花针	乱棒打死
230	0	如果一个大锅子煮熟一颗鸡蛋要三分钟，那么煮三颗鸡蛋需要多少时间？	九分钟	三分钟	六分钟	十二分钟
231	0	如果丈夫得了糖尿病，那么太太应该会得什么病？	抽筋	蛀牙	心脏病	精神病
232	0	如果今夜星光灿烂，明天将很暖和。今夜果真星光灿烂，所以？	明天将会很暖和	明天天气不会暖和	明晚将会星光灿烂	明晚将不会星光灿烂
233	0	如果向肉摊买一种『不要肥、不要瘦、不要骨头、不要肉』的东西，那你会买到什么？	猪脑	猪肠	猪血	猪头
234	0	如果有机会让你移民，你一定不会去哪个国家？	埃塞俄比亚	法国	美国	天国
235	0	如果你看见地上有1000、500、100元的三张纸钞，请问你会捡那一张？	1000元先捡	500元先捡	三张都捡	100元先捡
236	0	如果你发现小董有一对翅膀时，你会做什么？	叫他去医院检查一下	叫他从高楼跳下去	叫他去向别人炫耀	叫他去演艺圈发展
237	0	如果明天就是世界末日，为什么今天就有人想自杀？	早死晚死都一样	明天太恐怖了	先去天堂占位置	不想明天才死
238	0	如果香蕉从10楼坠楼后，会变成什么东西？	苹果	茄子	空心菜	花菜
239	0	如果动物园失火了，那么第一个跑出来的动物是什么？	猴子	人	鹦鹉	花豹
240	0	年年有余，为什么钱还是存不起来呢？	常常掉钱	常常借别人钱	没那个命	年年被炒鱿鱼
241	0	早晨醒来，每个人都会去做的第一件事是什么？	刷牙	尿尿	睁开眼	洗澡
242	0	有一水果，吃前是绿色的，吃下去是红色的，吐出来是黑色的，请问是这是什么水果？	西瓜	番石榴	槟榔	青苹果
243	0	有一把剑它是隐形的，你知道它是什么剑吗？	幽灵剑	看不见	绝世好剑	犯贱
244	0	有一门炮射程只有1米，但是却有一只鸟在11米外被打死了，为什么？	因为鸟是被吓死的	因为炮管瞄不准	因为炮管长10米	因为炮不会爆炸
245	0	有一个人，无论他叫你把头抬高或垂下，你都会照做，此人是谁？	厨师	经理	属下	理发师
246	0	有一个人一年才上一次班，又不怕被解雇，他到底是谁？	董事长	蜘蛛人	圣诞老公公	齐天大圣
247	0	有一个字，我们从小到大都念错，那是什么字？	汝字	鸟字	错字	熙字
248	0	有一家饭店开业了，名字叫『友朋小吃』，但为什么小朋友看了就跑？	东西很难吃	老板很凶	把招牌看反了	没有小朋友光顾
249	0	有一根棍子，要使它变短，但不能锯断，折断或削短，该怎么办？	拿一根更长的	用手遮起来	问你妈妈吧	把皮剥掉
250	0	有一只公狗在沙漠中突然死掉了，为什么？	渴死了	被车撞到	掉到水里	无电线杆忍尿而死
251	0	有一只羊，一年吃了草地上一半的草，若它把草全部吃光，需要多少年？	一年半	两年	三年	吃不完
252	0	有一只狼来到了北极，不小心掉到冰海中，被捞起来时变成了甚么？	螳螂	啸狼	北极熊	槟榔
253	0	有一只蜗牛从新疆爬到海南省为什么只需三分钟？	坐喷射机	新疆省在海南省隔壁	牠在地图上爬	定时器坏了
254	0	有一只头朝北的牛，向右边原地转三圈，然后向后转四圈，这时候它的尾巴朝那？	朝北边	朝东边	朝西边	朝地面
255	0	有一块天然的黑色的大理石，在中秋节这一天，把它扔到钱塘江里会有什现象产生？	浮在空中	变成黄金	沉到海底	变成白色大理石
256	0	有一种布很长很宽很好看，就是没有人用它来作衣服也不可能作成衣服，为什么？	它是剪刀石头布	它是瀑布	它是尿布	它是裹脚布
257	0	有一种东西，东方人的短，西方人的长，结婚后女的就可以用男的这东西？	项链	钞票	钻石	姓氏
258	0	有一种东西，买的人知道，卖的人也知道，只有用的人不知道，是什么东西？	冥纸	保险套	威尔刚	棺材
259	0	有一种花人人都想躲避它，请问是什么花？	豆花	牵牛花	天花	校花
260	0	有一艘船限乘50人，船上已有49人后再加上一个孕妇上了船，结果船沉入海中，为何？	多了一位小孩	孕妇太重	风太强了	那是一条潜水艇
261	0	有人不小心将一只老鼠吞下去时要如何救他？	再吞一只猫	赶紧叫救护车	放捕鼠器在嘴巴旁	叫他停止呼吸
262	0	有人不会轻功，但是左脚踏在蛋上，蛋却不破，这是为什么？	运气好	脚不是他的	右脚踏在地上	脚是义肢
263	0	有人在松软的沙摊上漫步，但是却发现他身后竟然没有脚印，这是为什么？	她是鬼	她走的很慢	她走的很快	她倒着走
264	0	有人说女人像一本书，那么胖女人像什么书？	精装本	读卖本	平装本	合订本
265	0	有人说吃鱼可避免患近视眼，为什么？	鱼含丰富蛋白质	鱼有绝佳视力	含丰富鱼肝油	没见过猫戴眼镜
266	0	有五个人外出，只有一把雨伞，但返家后，5人衣服从头到脚均完全没有湿，为什么？	大家的体积都很小	雨伞很大	那天没下雨	运气很好
267	0	有什么人睡着了是最难叫醒的？	假装睡着的人	昏睡的人	三天没睡的人	流氓
