NUM	TEXT	TEXT	TEXT	TEXT	TEXT	NUM
56	这次的灯谜是：\n\t#G 千言万语（猜一字）？	煦	够	驹	拘	2
57	这次的灯谜是：\n\t#G 千里挑一，百里挑一（猜一字）？	白	伯	日	香	2
58	这次的灯谜是：\n\t#G 口内一排牙，头顶一根毛（猜一字）？	百	白	日	目	2
59	这次的灯谜是：\n\t#G 大口吃小口，一口吞四口（猜一字）？	品	田	目	口	2
60	这次的灯谜是：\n\t#G 大小一一具全（猜一字）？	乔	奈	本	忝	2
61	这次的灯谜是：\n\t#G 大于、小于、等于（猜一字）？	三	互	共	王	2
62	这次的灯谜是：\n\t#G 大河没水小河干（猜一字）？	可	哥	合	乞	2
63	这次的灯谜是：\n\t#G 小勾三条虫，一条在勾中，一条飞到西，一条飞到东（猜一字）？	必	心	秘	忠	2
64	这次的灯谜是：\n\t#G 山上还有山，小二藏下面（猜一字）？	宗	示	祟	果	3
65	这次的灯谜是：\n\t#G 工人浮在水上（猜一字）？	山	一	江	二	3
66	这次的灯谜是：\n\t#G 不二价（猜一字）？	二	真	掀	贾	3
67	这次的灯谜是：\n\t#G 不正只为晚节屈（猜一字）？	正	政	丐	出	3
68	这次的灯谜是：\n\t#G 不怕火（猜一字）？	木	土	镇	专	3
69	这次的灯谜是：\n\t#G 不讲理的人（猜一字）？	和	作	地	里	3
70	这次的灯谜是：\n\t#G 中秋夜乌云密布（猜一字）？	肥	脱	胞	肚	3
71	这次的灯谜是：\n\t#G 中秋时节（猜一字）？	脱	肥	朕	胖	3
72	这次的灯谜是：\n\t#G 中秋节念家园，三兄弟一起庆团圆（猜一字）？	秦	春	聚	奈	4
73	这次的灯谜是：\n\t#G 中国话（猜一字）？	说	记	话	哗	4
74	这次的灯谜是：\n\t#G 互吻（猜一字）？	哭	器	谈	吕	4
75	这次的灯谜是：\n\t#G 元首（猜一字）？	二	目	元	一	4
76	这次的灯谜是：\n\t#G 六口少两口（猜一字）？	品	晶	目	用	4
77	这次的灯谜是：\n\t#G 公而忘私（猜一字）？	七	六	五	八	4
78	这次的灯谜是：\n\t#G 反手（猜一字）？	台	抬	指	毛	4
79	这次的灯谜是：\n\t#G 天下无人去征西（猜一字）？	一	三	四	二	4
80	这次的灯谜是：\n\t#G 天天（猜一字）？	侮	诲	梅	晦	4
81	这次的灯谜是：\n\t#G 天生好吃，一个大口（猜一字）？	乔	添	忝	吞	4
82	这次的灯谜是：\n\t#G 天坠白花（猜一字）？	雪	雷	雾	电	1
83	这次的灯谜是：\n\t#G 夫人外出（猜一字）？	二	一	三	山	1
84	这次的灯谜是：\n\t#G 心上只有我，总怕别人比己强（猜一字）？	忌	忽	想	思	1
85	这次的灯谜是：\n\t#G 手不释卷（猜一字）？	卷	八	春	泰	1
86	这次的灯谜是：\n\t#G 手足情深（猜一字）？	捉	骑	驹	腿	1
87	这次的灯谜是：\n\t#G 手提包（猜一字）？	抱	炮	泡	炮	1
88	这次的灯谜是：\n\t#G 月映屋檐下（猜一字）？	肩	背	臂	胎	1
89	这次的灯谜是：\n\t#G 月与星相依，日与月共生（猜一字）？	明	腥	萌	盟	2
90	这次的灯谜是：\n\t#G 牛禁止进入（猜一字）？	特	物	牧	牡	2
91	这次的灯谜是：\n\t#G 乍看多一半，再看一半多，细算多半个，其实半个多（猜一字）？	口	夕	卜	占	2
92	这次的灯谜是：\n\t#G 乍看嘴上文明，实际爱钱如命（猜一字）？	言	吝	吕	合	2
93	这次的灯谜是：\n\t#G 冬天病了（猜一字）？	病	疼	痛	痒	2
94	这次的灯谜是：\n\t#G 出自幽谷，迁于乔木（猜一字）？	安	卡	呆	心	3
95	这次的灯谜是：\n\t#G 加倍再加倍，总共二十倍（猜一字）？	倍	部	蓓	陪	3
96	这次的灯谜是：\n\t#G 半部春秋（猜一字）？	春	泰	秦	奉	3
97	这次的灯谜是：\n\t#G 只有姐姐妹妹和弟弟（猜一字）？	哥	可	歌	缺	3
98	这次的灯谜是：\n\t#G 只是近黄昏（猜一字）？	晨	暮	谭	酱	4
99	这次的灯谜是：\n\t#G 四山纵横，富由他起脚，累是他领头（猜一字）？	四	目	合	田	4
100	这次的灯谜是：\n\t#G 四川的角（猜一字）？	罗	贺	解	触	4
