NUM	NUM	TEXT	TEXT	TEXT	TEXT	TEXT	NUM
17	0	"欢迎来到乌龙辞典，我这里要考一考你：\n\t#G人生自古谁无死，留取丹心照汗青""的作者是："	苏轼	童贯	蔡京	文天祥	4
18	0	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G甲骨文是写在哪上面的？	纸上	龟甲兽骨	丝绸	竹片	2
19	0	"欢迎来到乌龙辞典，我这里要考一考你：\n\t#G吸血鬼""的传说起源于一种动物，它是："	蚊子	苍蝇	壁虎	蝙蝠	4
20	0	"欢迎来到乌龙辞典，我这里要考一考你：\n\t#G身无彩凤双飞翼""下一诗句是什么？"	西出阳关无故人	疑是银河落九天	西湖歌舞几时休	心有灵犀一点通	4
21	0	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G人在不饥渴时也需要的是什么水？	可乐	汽水	矿泉水	薪水	4
22	0	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G『亚维农的少女』是谁的作品？	毕加索	马奈	高更	梵谷	1
23	0	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G哪条河被称为华夏民族的母亲河？	黄河	海河	长江	珠江	1
24	0	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G《红楼梦》的作者是？	老舍	冰心	鲁迅	曹雪芹	4
25	0	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G『春江水暖』是清代哪位画家之作？	赵左	郎世宁	任伯年	王鉴	3
26	0	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G吸烟有害人体建康，那么吸烟对人体的哪个器官伤害最大？	心脏	脾脏	肝脏	肺	4
27	0	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G薄公英靠什么传播种子？	水流	风力	埋进土里	寄生	2
28	0	"欢迎来到乌龙辞典，我这里要考一考你：\n\t#G下面哪种真正是鱼""？"	草鱼	鳄鱼	章鱼	娃娃鱼	1
29	0	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G美国的货币是什么？	美元	英镑	法郎	马克	1
30	0	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G澳洲所在的洲？	亚洲	欧洲	大洋洲	北美洲	3
31	0	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G哪颗行星不属于太阳系？	赛博特恩	地球	水星	木星	1
32	0	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G嫦娥住在哪个地方上？	地球	天王星	月亮	恒星	3
33	0	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G哪个时期的版图最大？	夏朝	战国	春秋	元朝	4
34	0	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G《史记》的作者是谁？	汉武帝	秦始皇	项羽	司马迁	4
35	0	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G下面哪种动物不是恐龙？	霸王龙	翼龙	三角龙	熊猫	4
36	0	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G《成吉思汗》中离开哲别村后进入哪个场景？	王城	大都	威海港	罕难河草原	1
37	0	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G《成吉思汗》中20级迷宫是哪个场景？	乌孙古道	王城	大都	外高加索	4
38	0	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G《成吉思汗》中40级迷宫是哪个场景？	乌孙古道	王城	葱岭西麓	外高加索	3
39	0	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G《成吉思汗》中快速换乘骑乘的快捷键是？	A	S	D	X	4
40	0	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G蒙古人喜欢喝什么酒？	马奶酒	茅台	五粮液	二锅头	1
41	0	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G成吉思汗时期的蒙古军基本上是？	骑兵	步兵	工兵	炮兵	1
42	0	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G下面人物哪个不是成吉思汗的儿子？	朮赤	托雷	窝阔台	哲别	4
43	0	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G『计白当黑』是属于何种种类名词？	绘画	雕塑	书法	设计	3
44	0	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G成吉思汗的名字？	王汗	铁木真	扎木合	忽必烈	2
45	0	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G《成吉思汗》中背包的快捷键是？	G	S	B	C	3
46	0	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G打败九旄战神是否会获得异形坐骑？	是	不是	有概率	不清楚	1
47	0	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G《成吉思汗》中先知使用的武器是：	刀	剑	杖	火枪	3
48	0	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G《成吉思汗》中武士使用的武器是：	刀	剑	杖	火枪	1
49	0	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G《成吉思汗》中可以为队友加血的职业是：	先知	萨满	武士	火枪	2
50	0	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G哪个不是金庸的小说？	楚留香	射雕英雄传	侠客行	碧血剑	1
51	0	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G哪个国家发生地震的可能性最大：	日本	俄罗斯	南非	美国	1
52	0	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G『唐三彩』色彩多采多姿，但以哪三色为主而得名？	黄、绿、白	黄、红、蓝	白、黄、蓝	白、黄、红	1
53	0	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G《成吉思汗》中多少级的玩家可以进入边塞：	20级	30级	40级	50级	1
54	0	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G《成吉思汗》中天降宝箱的玩法所在场景：	王城	边塞	大都	威海港	1
55	0	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G《成吉思汗》中铁人三项的玩法所在场景：	王城	边塞	大都	威海港	3
56	0	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G《成吉思汗》中副本囚笼岛的入口所在场景：	王城	边塞	大都	威海港	1
57	0	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G《成吉思汗》中玉门关所在场景：	王城	边塞	大都	威海港	2
58	0	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G『唐三彩』是一种？	陶制品	磁制品	雕刻品	壁画	1
59	0	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G成吉思汗的登陆接口主题曲叫什么名字？	成吉思汗	青花瓷	青衣	长门赋	1
60	0	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G成吉思汗第一套声望装最低多少级可以装备？	20级	30级	40级	60级	1
61	0	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G成吉思汗中新手村任务，需要去消灭几种动物？	4种	3种	0种	1种	1
62	0	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G成吉思汗创建角色共有几个国家可以选择？	0个	2个	4个	1个	3
63	0	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G成吉思汗创建角色共有几个职业可以选择？	2个	3个	6个	4个	3
64	0	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G进入成吉思汗游戏，第一位找的人是谁？	万事通	巫贤	郭守谦	包打听	3
65	0	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G成吉思汗中第一把兵器通过何种任务方式而来？	自带	打怪	采集得来	赠送	3
66	0	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G在成吉思汗中，声望主要是来源于副本，那么哪个副本是获取声望的呢？	和氏璧	景教堂	永夜天牢	黄河坞	3
67	0	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G在成吉思汗中，异兽是人人都在追求的，那么，副本中哪种怪物会掉落异兽？	囚笼岛	所有副本	九旄战神	铁骑牧场	3
68	0	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G九旄战神一定会掉落异兽么？	不清楚	有概率	一定	没有	3
69	0	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G在哪个副本可以遇到掉落50级异兽的九旄战神呢？	囚笼岛	景教堂	所有副本	和氏璧	4
70	0	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G在成吉思汗中，有着很多种生活技能，那么，国传水晶是由哪种生活技能制作的呢？	自己制造	杀怪掉落	采集得来	不能制造	4
71	0	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G神传水晶可以通过副本-千佛窟大量产出，那么多少级以上的怪物才会掉落此物？	20级	30级	35级	60级	4
72	0	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G西厢记的作者王实甫和张生是什么关系？	父子	兄弟	亲属	朋友	4
73	0	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G在成吉思汗中，统一蒙古的过程经历了几张场景？	1张	2张	3张	5张	4
74	0	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G在成吉思汗中，大都是多少级可以进入？	10级	20级	30级	40级	4
75	0	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G成吉思汗的哪个儿子接替了蒙古大汗之位？	拔都	旭烈兀	察合台	窝阔台	4
76	0	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G忽必烈和成吉思汗是什么关系？	父子	叔侄	兄弟	祖孙	4
77	0	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G在成吉思汗中，蒙古的金刀驸马是谁？	拔都	旭烈兀	察合台	郭靖	4
78	0	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G王城的太子名字叫什么？	忽必烈	拔都	旭烈兀	合赞	4
79	0	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G真金太子在哪张地图？	边塞	大都	王城	威海港	1
80	0	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G在成吉思汗中，抓马任务在哪里完成？	铁骑牧场	保定路	济宁路	乌孙古道	1
81	0	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G马可波罗在哪张地图场景中？	王城	保定路	济宁路	乌孙古道	1
82	0	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G元朝的后一个朝代是什么朝？	明朝	宋朝	清朝	金朝	1
83	0	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G丘处机最早出现在哪张地图场景中？	罕难河草原	新手村	王城	大都	1
84	0	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G忽必烈建国之时，给他定国号大元的人是谁？	刘秉忠	忽必烈	成吉思汗	托雷	1
85	0	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G郭守谦为什么出现在哲别村？	寻找大元公主	传令	官府押运	黑金押运	1
86	0	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G成吉思汗的世界中，犀牛是什么类型的宠物？	体质型	智力型	魔力型	全能型	1
87	0	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G有一个人能够带你穿梭时空，亲身体验成吉思汗波澜壮阔的一生，这个人是？	钥匙老人	包打听	万事通	合赞	1
88	0	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G传说有一个副本中的一环能够窥见天机，欲知未来，这一环的名字叫什么？	和氏璧	景教堂	囚笼岛	地下粮仓	1
89	0	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G咸海湾一带经常有十字军出没，这些十字军的首领是谁？	奥托四世	扎木合	海都	路易十四	1
90	0	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G成吉思汗的世界中，最快速地回复活力的方法是？	吃融雪丹	吃红花	吃活力丹	吃甘草	3
91	0	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G大都的舞厅是一种人人都爱去的地方，在那里跳舞能够增加声望吗？	不清楚	不可以	可以	有时可以	3
92	0	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G建立大元的忽必烈是哪一个家族的成员？	海都家族	察合台家族	托雷家族	不清楚	3
93	0	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G在《成吉思汗》中明教的代教主是谁？	杨逍	谢逊	阳顶天	张无忌	3
94	0	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G能够改变宠物属性和技能的物品叫什么？	红花	甘草	还童书	活力丹	3
95	0	"欢迎来到乌龙辞典，我这里要考一考你：\n\t#G历史上帮助朱元璋修建南京城，拥有聚宝盆""被称为""活财神""的人叫什么？"	方国珍	韩山童	沈万三	常遇春	3
96	0	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G沈万三在大都势力庞大，他一手创立的帮会叫什么名字？	盐帮	丐帮	少林	武当	1
97	0	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G元朝的开国皇帝是？	王汗	铁木真	扎木合	忽必烈	2
98	1	"欢迎来到乌龙辞典，我这里要考一考你：\n\t#G郁金香""是哪个国家的象征？"	法国	德国	英国	荷兰	4
99	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G世界上第一个国家颁布的药典出现在：	唐朝	罗马帝国	阿拉伯帝国	西班牙王国	1
100	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G『基底线』一词与何者有关？	摄影机	焊接机	构图	建筑	2
101	1	"欢迎来到乌龙辞典，我这里要考一考你：\n\t#G大珠小珠落玉盘""所形容的是什么乐器的弹奏声？"	洋琴	琵琶	圆号	马头琴	2
102	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G吴道子的作品是：	清明上河图	八阵图	天王送子图	和平鸽	3
103	1	"欢迎来到乌龙辞典，我这里要考一考你：\n\t#G被称为诗圣""的唐代诗人为："	王安石	白居易	苏轼	杜甫	4
104	1	"欢迎来到乌龙辞典，我这里要考一考你：\n\t#G宪法""一词最早来源于："	汉语	日语	拉丁文	韩语	3
105	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G『清明上河图』是描绘北宋时期首都的风俗景物，请问是现代的哪个都市？	洛阳	开封	南京	北京	2
106	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G『脱腊法』指的是？	水印版画技法	水彩留白技法	金属工艺翻模法	腊笔画技法	3
107	1	"欢迎来到乌龙辞典，我这里要考一考你：\n\t#G泗水文章昭日月，杏坛礼乐冠华夷""中的""杏坛""指的是："	讲台	教舍	孔子讲学的地方	佛塔	3
108	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G古代名医华佗为谁所杀?	曹操	孙权	刘备	曹丕	1
109	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G『感时花溅泪，恨别鸟惊心』最合于哪一种美感经验学说？	形相的直觉	心理距离说	美的孤立说	移情说	4
110	1	"欢迎来到乌龙辞典，我这里要考一考你：\n\t#G瘦金体""由谁所创？"	蔡京	高俅	方腊	宋徽宗	4
111	1	"欢迎来到乌龙辞典，我这里要考一考你：\n\t#G海市蜃楼""现象在不同时间内出现的影像有正有倒，请问呈倒象的是什么时段？"	下午时段	上午时段	晚上时段	傍晚时段	1
112	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G码头一般建在河流的：	凸岸	南岸	凹岸	北岸	3
113	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G馒头是谁发明的？	诸葛亮	孟获	铁木真	关羽	1
114	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G哪个火山的爆发毁灭了古罗马帝国的庞贝城？	乞力马札罗山	维苏威火山	富士山	五大连池	2
115	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G新石器与旧石器的差别是：	材料的区别	生活区别	财富区别	时间区别	1
116	1	"欢迎来到乌龙辞典，我这里要考一考你：\n\t#G春风不度玉门关""是谁的诗句？"	王之涣	孟浩然	杜甫	白居易	1
117	1	"欢迎来到乌龙辞典，我这里要考一考你：\n\t#G按风俗，腊八粥""应在阴历哪一天喝？"	正月三十	端午节	中秋节	十二月初八	4
118	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G南北朝时，北方民歌艺术的最高成就是：	长门赋	滕王阁序	敕勒歌	兰亭集序	3
119	1	"欢迎来到乌龙辞典，我这里要考一考你：\n\t#G李白笔下的飞流直下三千尺，疑是银河落九天""指的是哪个风景区？"	庐山	泰山	五台山	少室山	1
120	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G先秦时，龙的形象和图案被普遍地比喻为：	皇帝	大臣	将军	君子	4
121	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G人体最坚硬的部分是哪一部分？	手	脚	头骨	牙齿	4
122	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G世界上最大的洲是哪一洲？	欧洲	非洲	北美洲	亚洲	4
123	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G『万壑松风图』是宋代哪位画家之作？	刘松年	马麟	李唐	郭熙	3
124	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G用什么锅炒菜，对人体健康更有益？	铝锅	铜锅	铁锅	火锅	3
125	1	"欢迎来到乌龙辞典，我这里要考一考你：\n\t#G美人鱼""是安徒生的哪部童话里的人物？"	小红帽	睡美人	海的女儿	白雪公主	3
126	1	"欢迎来到乌龙辞典，我这里要考一考你：\n\t#G书画作品中的四君子""指哪四种植物？"	梅兰竹松	梅兰竹菊	梅松竹菊	梅兰松菊	2
127	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G举世闻名的泰姬陵在：	缅甸	泰国	印度	马来西亚	3
128	1	"欢迎来到乌龙辞典，我这里要考一考你：\n\t#G白雪公主""这个形象最早来自于："	一千零一夜	千与千寻	格林童话	天方夜谭	3
129	1	"欢迎来到乌龙辞典，我这里要考一考你：\n\t#G卧薪尝胆""说的是："	夫差	管仲	勾践	伍子胥	3
130	1	"欢迎来到乌龙辞典，我这里要考一考你：\n\t#G冰淇淋""是从哪国传进的外来语？"	法国	西班牙	英国	奥地利	3
131	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G男士参加音乐会应该穿？	燕尾服	西装	运动服	礼服	2
132	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G多大的数字被称为天文数字？	万以上	亿以上	百亿以上	不清楚	2
133	1	"欢迎来到乌龙辞典，我这里要考一考你：\n\t#G明月几时有？把酒问青天。""是谁的诗词？"	辛弃疾	李商隐	苏东坡	李清照	3
134	1	"欢迎来到乌龙辞典，我这里要考一考你：\n\t#G不为五斗米折腰""的古代人物是？"	李商隐	陶渊明	李清照	骆宾王	2
135	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G《清明上河图》作于？	元代	宋代	后周	南唐	2
136	1	"欢迎来到乌龙辞典，我这里要考一考你：\n\t#G音乐界所说的大小史特劳斯""是什么关系？"	兄弟关系	父子关系	师徒关系	叔侄关系	2
137	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G世界名画《和平鸽》的创作者是？	莫照	梵高	达文西	毕加索	4
138	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G通常情况下，中秋节晚上的月亮总是比第二天晚上的月亮亮吗？	是	有时是	不一定	不是	4
139	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G我们日常的主食基本上属于什么食物？	碱性食物	中性食物	多种多样	酸性食物	4
140	1	"欢迎来到乌龙辞典，我这里要考一考你：\n\t#G廿""是表示？"	三十	二十	五十	四十	2
141	1	"欢迎来到乌龙辞典，我这里要考一考你：\n\t#G户枢不蠹""的""不蠹""是什么意思？"	生虫	不生虫	糟粕	生锈	2
142	1	"欢迎来到乌龙辞典，我这里要考一考你：\n\t#G请在人闲_____落，夜静春山空""的空白处填入一种花名"""	槐花	桂花	杏花	桃花	2
143	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G古代的六艺中与体育有关的有几项？	2项	3项	4项	6项	1
144	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G月球上看天空是？	黑色的	白色	无色	蓝色	1
145	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G龙在十二生肖中排行第几？	五	六	八	十	1
146	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G从月球上看地球的唯一建筑物是？	长城	什么也看不到	金字塔	世贸大楼	2
147	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G奥运会各项比赛的第四、五、六名，所获的奖励为？	有奖状没有奖牌	奖牌	奖金	什么都没有	1
148	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G在古希腊神话中，爱与美的女神叫做？	阿芙罗狄忒	赫拉	潘多拉	奥列迪克	1
149	1	"欢迎来到乌龙辞典，我这里要考一考你：\n\t#G 创作芭蕾舞剧天鹅湖""的音乐家是："	柴可夫斯基	茹科夫	果戈理	布哈林	1
150	1	"欢迎来到乌龙辞典，我这里要考一考你：\n\t#G有钢琴诗人""之称的是："	肖邦	莫札特	小史特劳斯	柴可夫斯基	1
151	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G一个人在什么情况下，才处于真正的任人宰割的地步？	睡觉时	运动时	遇到危险时	手术台上	4
152	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G你能在一分钟内说出太平洋的中间是什么吗？	平字	太字	洋字	夏威夷	1
153	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G什么东西天气越热，它爬的越高？	温度计	爬山虎	向日葵	太阳	1
154	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G什么照片看不出照的是谁？	X光	激光	数码相机	海鸥相机	1
155	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G考试中坐同桌的同学交了一模一样的考卷，但老师为什么认为他们没作弊。	都交的白卷	没有坐在一起	不清楚	不在同一考场	1
156	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G《掷铁饼者》是谁雕塑的？	米伦	米开朗基罗	达文西	梵高	1
157	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G国际奥委会总部设在何处？	美国纽约	法国巴黎	奥地利维亚纳	瑞士洛桑	4
158	1	"欢迎来到乌龙辞典，我这里要考一考你：\n\t#G黄金首饰通常用K""表含金量，那么18K代表百分之几的含金量？"	25	55	100	75	4
159	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G冷冻的汽水和常湿下的汽水哪个泡沫更多？	冷冻的汽水	常温的汽水	一样	不清楚	1
160	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G吃了榴莲后应该吃什么防止上火？	杨桃	杨梅	柑橘	山竹	4
161	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G罹患肾炎的病人最好不要吃：	过咸的食品	过淡的食品	过甜的食品	过辣的食品	1
162	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G『蒙娜莉萨的微笑』这幅画现存于何处？	罗浮宫	大英博物馆	古根汉博物馆	白金汉宫博物馆	1
163	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G糖份摄取过多会导致体内哪种元素的缺乏？	维生素B1	维生素C	维生素A	维生素E	1
164	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G『墨竹图』是明代哪位画家之作？	唐寅	边文进	吕纪	林良	1
165	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G下列不属于食用真菌的是：	金针菜	平菇	金针菇	香菇	1
166	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G『蓝色加黑』，下列叙述何者为是？	明度降低	明度变高	彩度变高	彩度不变	1
167	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G『罗汉图』是宋代哪位画家之作？	刘松年	马麟	郭熙	李唐	1
168	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G17世界上嘴峰最长的鸟为何？	巨嘴鸟	鲸头鹳	澳洲鹈鹕	鲸头鹳	1
169	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G道家创始人是？	老子	孟子	孔子	孙子	1
170	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G1924年1月，哪家电台播出了世界上第一个广播剧『煤矿之中』？	美国华盛顿广播电台	法国巴黎广播电视台	德国柏林广播电台	英国伦敦广播电台	4
171	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G煤气中毒后应主意保暖，否则易引起：	感冒	肝炎	心肌梗	肺炎	4
172	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G1985年哪一个演出单位以『那一夜，谁来说相声』掀起相声戏剧热潮？	表演工作坊	相声瓦舍	屏风表演班	大鹏剧团	1
173	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G甜菜的哪个部分，是制糖原料？	块根	枝叶	花	果实	1
174	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G世界上地势最低的国家是：	荷兰	新西兰	马尔代夫	丹麦	1
175	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G世界上飞的最远的鸟为何？	北极燕鸥	高山兀鹫	天堂大丽鹃	大鸨	1
176	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G身份证号码有多少位数？	15	19	21	10	4
177	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G世界上第一个赋予妇女选举权的国家是：	新西兰	英国	澳洲	法国	1
178	1	"欢迎来到乌龙辞典，我这里要考一考你：\n\t#G扑克牌中的梅花""象征着什?？"	愤怒	失落	甜蜜	幸运	4
179	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G泰迪熊是根据哪位总统打猎的故事而推出的一个玩具呢？	西奥多罗斯福	胡佛	肯尼迪	林肯	1
180	1	"欢迎来到乌龙辞典，我这里要考一考你：\n\t#G有果王""美称的水果是："	山竹	桂圆	荔枝	榴莲	4
